BookID,Book,AuthorName,Genres,Avg_Rating,,
43,The Secret Garden,Frances Hodgson Burnett,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Fantasy",4.15,,
44,Memoirs of a Geisha,Arthur Golden,"Fiction, Historical Fiction, Romance, Historical, Classics, Japan, Adult",4.14,,
45,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Fantasy, Classics, Fiction, Young Adult, Childrens, Middle Grade, Adventure",4.23,,
46,The Odyssey,Homer,"Classics, Fiction, Poetry, Mythology, Fantasy, School, Literature",3.8,,
47,A Christmas Carol,Charles Dickens,"Classics, Fiction, Christmas, Fantasy, Audiobook, Literature, Historical Fiction",4.07,,
48,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor",4.18,,
49,The Outsiders,S.E. Hinton,"Classics, Young Adult, Fiction, School, Read For School, Realistic Fiction, Coming Of Age",4.12,,
50,One Hundred Years of Solitude,Gabriel García Márquez,"Fiction, Classics, Magical Realism, Literature, Fantasy, Novels, Historical Fiction",4.11,,
51,The Grapes of Wrath,John Steinbeck,"Classics, Fiction, Historical Fiction, Literature, Novels, School, American",4,,
52,A Thousand Splendid Suns,Khaled Hosseini,"Fiction, Historical Fiction, Contemporary, Historical, Novels, War, Classics",4.42,,
53,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook",4.3,,
54,Where the Sidewalk Ends,Shel Silverstein,"Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books",4.32,,
55,The Count of Monte Cristo,Alexandre Dumas,"Classics, Fiction, Historical Fiction, Adventure, Literature, France, Historical",4.29,,
56,"Enders Game (Enders Saga, #1)",Orson Scott Card,"Science Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia, War",4.31,,
57,Where the Wild Things Are,Maurice Sendak,"Childrens, Picture Books, Fiction, Classics, Fantasy, Adventure, Young Adult",4.24,,
58,The Color Purple,Alice Walker,"Classics, Fiction, Historical Fiction, Feminism, LGBT, Historical, African American",4.26,,
59,A Tale of Two Cities,Charles Dickens,"Classics, Fiction, Historical Fiction, Literature, Historical, Novels, School",3.86,,
60,The Adventures of Tom Sawyer,Mark Twain,"Classics, Fiction, Adventure, Historical Fiction, Young Adult, Literature, Childrens",3.92,,
61,Life of Pi,Yann Martel,"Fiction, Fantasy, Classics, Adventure, Contemporary, Magical Realism, Novels",3.93,,
62,"The Handmaids Tale (The Handmaids Tale, #1)",Margaret Atwood,"Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult",4.13,,
63,One Flew Over the Cuckoos Nest,Ken Kesey,"Classics, Fiction, Psychology, Literature, Novels, Mental Health, School",4.2,,
64,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Classics, Fiction, Horror, Science Fiction, Gothic, Fantasy, School",3.85,,
65,Flowers for Algernon,Daniel Keyes,"Fiction, Classics, Science Fiction, Young Adult, Psychology, Literature, School",4.19,,
66,"Oh, the Places Youll Go!",Dr. Seuss,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Young Adult",4.36,,
67,Anna Karenina,Leo Tolstoy,"Classics, Fiction, Romance, Russia, Historical Fiction, Russian Literature, Literature",4.08,,
68,Tuesdays with Morrie,Mitch Albom,"Nonfiction, Memoir, Biography, Classics, Inspirational, Philosophy, Self Help",4.16,,
69,Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,"Classics, Childrens, Fiction, Fantasy, Animals, Middle Grade, Audiobook",4.35,,
70,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy",4.38,,
71,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Classics, Fiction, Science Fiction, War, Historical Fiction, Literature, Novels",4.09,,
72,The Old Man and the Sea,Ernest Hemingway,"Classics, Fiction, Literature, Novels, American, School, Adventure",3.8,,
73,Catch-22,Joseph Heller,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels",3.99,,
74,The Scarlet Letter,Nathaniel Hawthorne,"Classics, Fiction, Historical Fiction, School, Literature, High School, Historical",3.43,,
75,Macbeth,William Shakespeare,"Classics, Plays, Fiction, School, Drama, Read For School, Literature",3.9,,
76,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance",3.64,,
77,Lolita,Vladimir Nabokov,"Classics, Fiction, Literature, Novels, Russia, Romance, Russian Literature",3.88,,
78,The Metamorphosis,Franz Kafka,"Classics, Fiction, Fantasy, Philosophy, Literature, Short Stories, School",3.85,,
79,The Time Travelers Wife,Audrey Niffenegger,"Fiction, Romance, Fantasy, Time Travel, Science Fiction, Contemporary, Adult",3.99,,
80,Siddhartha,Hermann Hesse,"Classics, Fiction, Philosophy, Spirituality, Religion, Literature, Buddhism",4.06,,
81,The Stranger,Albert Camus,"Classics, Fiction, Philosophy, France, Literature, Novels, French Literature",4.01,,
82,Goodnight Moon,Margaret Wise Brown,"Childrens, Picture Books, Classics, Fiction, Poetry, Kids, Animals",4.3,,
83,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook",4.43,,
84,A Tree Grows in Brooklyn,Betty  Smith,"Classics, Fiction, Historical Fiction, Young Adult, Coming Of Age, Historical, New York",4.29,,
85,War and Peace,Leo Tolstoy,"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War",4.15,,
86,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"Classics, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Middle Grade",4.35,,
87,A Clockwork Orange,Anthony Burgess,"Classics, Fiction, Science Fiction, Dystopia, Literature, Horror, Novels",4,,
88,All Quiet on the Western Front,Erich Maria Remarque,"Classics, Fiction, Historical Fiction, War, Historical, Literature, School",4.05,,
89,The Stand,Stephen King,"Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia",4.34,,
90,Don Quixote,Miguel de Cervantes Saavedra,"Classics, Fiction, Literature, Spanish Literature, Adventure, Historical Fiction, Novels",3.89,,
91,Uncle Toms Cabin,Harriet Beecher Stowe,"Classics, Fiction, Historical Fiction, Literature, Historical, American, Novels",3.9,,
92,Atlas Shrugged,Ayn Rand,"Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels",3.69,,
93,The Brothers Karamazov,Fyodor Dostoevsky,"Classics, Fiction, Russia, Literature, Russian Literature, Philosophy, Novels",4.36,,
94,The Poisonwood Bible,Barbara Kingsolver,"Fiction, Historical Fiction, Africa, Classics, Historical, Literary Fiction, Literature",4.09,,
95,"I Know Why the Caged Bird Sings (Maya Angelous Autobiography, #1)",Maya Angelou,"Nonfiction, Classics, Memoir, Biography, Autobiography, Poetry, Feminism",4.28,,
96,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"Religion, Nonfiction, Lds, Church, Spirituality, Classics, History",4.26,,
97,"Moby-Dick or, the Whale",Herman Melville,"Classics, Fiction, Literature, Adventure, Historical Fiction, Novels, American",3.53,,
98,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction, Suspense, Adventure",3.9,,
99,Great Expectations,Charles Dickens,"Classics, Fiction, Literature, Historical Fiction, School, Novels, 19th Century",3.79,,
100,"The Good Earth (House of Earth, #1)",Pearl S. Buck,"Classics, Fiction, Historical Fiction, China, Literature, Historical, Asia",4,,
101,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"Nonfiction, Biography, History, Christian, Memoir, Classics, Holocaust",4.45,,
102,Dracula,Bram Stoker,"Classics, Horror, Fiction, Fantasy, Vampires, Gothic, Paranormal",4.01,,
103,"A Wrinkle in Time (Time Quintet, #1)",Madeleine LEngle,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade",3.99,,
104,The Fault in Our Stars,John Green,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age",4.15,,
105,Matilda,Roald Dahl,"Childrens, Fiction, Classics, Fantasy, Middle Grade, Young Adult, Humor",4.33,,
106,The Perks of Being a Wallflower,Stephen Chbosky,"Young Adult, Fiction, Contemporary, Classics, Mental Health, Realistic Fiction, LGBT",4.22,,
107,Brave New World,Aldous Huxley,"Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, School",3.99,,
108,Sense and Sensibility,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook",4.08,,
109,The Princess Bride,William Goldman,"Fantasy, Classics, Fiction, Romance, Humor, Young Adult, Adventure",4.26,,
110,The Iliad,Homer,"Classics, Poetry, Fiction, Mythology, Literature, Fantasy, Historical Fiction",3.9,,
111,East of Eden,John Steinbeck,"Classics, Fiction, Historical Fiction, Literature, Novels, American, Literary Fiction",4.4,,
112,Where the Red Fern Grows,Wilson Rawls,"Classics, Fiction, Young Adult, Childrens, Historical Fiction, Middle Grade, Animals",4.1,,
113,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"Classics, Horror, Fiction, Short Stories, Poetry, Mystery, Literature",4.19,,
114,Mans Search for Meaning,Viktor E. Frankl,"Nonfiction, Psychology, Philosophy, History, Self Help, Memoir, Biography",4.37,,
115,The Lorax,Dr. Seuss,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Environment",4.34,,
116,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure",4.31,,
117,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Fiction, Mystery, Young Adult, Contemporary, Classics, Novels, Autistic Spectrum Disorder",3.89,,
118,The Declaration of Independence / The Constitution of the United States,Founding Fathers,"History, Nonfiction, Politics, Classics, Philosophy, Reference, American History",4.44,,
119,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Fantasy, Fiction, Epic Fantasy, Adult, High Fantasy, Science Fiction Fantasy, Adventure",4.44,,
120,"Watership Down (Watership Down, #1)",Richard  Adams,"Classics, Fiction, Fantasy, Young Adult, Animals, Childrens, Adventure",4.08,,
121,The Bell Jar,Sylvia Plath,"Classics, Fiction, Feminism, Mental Health, Psychology, Literature, Mental Illness",4.04,,
122,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"Childrens, Fiction, Fantasy, Classics, Young Adult, Middle Grade, Humor",4.15,,
123,The Last Lecture,Randy Pausch,"Nonfiction, Memoir, Biography, Self Help, Inspirational, Philosophy, Autobiography",4.26,,
124,Rebecca,Daphne du Maurier,"Classics, Fiction, Mystery, Gothic, Romance, Historical Fiction, Thriller",4.24,,
125,The Velveteen Rabbit,Margery Williams Bianco,"Classics, Childrens, Fiction, Picture Books, Fantasy, Animals, Young Adult",4.29,,
126,"Dune (Dune, #1)",Frank Herbert,"Science Fiction, Fiction, Fantasy, Classics, Science Fiction Fantasy, Audiobook, Space Opera",4.26,,
127,And Then There Were None,Agatha Christie,"Classics, Fiction, Crime, Thriller, Mystery Thriller, Audiobook, Mystery",4.28,,
128,The Fountainhead,Ayn Rand,"Fiction, Classics, Philosophy, Literature, Novels, Politics, Architecture",3.88,,
129,The Lovely Bones,Alice Sebold,"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Crime, Thriller",3.84,,
130,Alice in Wonderland,Jane Carruth,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature",4.03,,
131,The Call of the Wild,Jack London,"Classics, Fiction, Adventure, Young Adult, Animals, Historical Fiction, Literature",3.9,,
132,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",4.16,,
133,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Fantasy, Fiction, Classics, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy",4.56,,
134,The Five People You Meet in Heaven,Mitch Albom,"Fiction, Inspirational, Contemporary, Fantasy, Classics, Spirituality, Adult",3.98,,
135,Animal Farm / 1984,George Orwell,"Classics, Fiction, Dystopia, Literature, Science Fiction, Politics, Fantasy",4.3,,
136,Perfume: The Story of a Murderer,Patrick Süskind,"Fiction, Classics, Historical Fiction, Horror, Mystery, Thriller, Crime",4.03,,
137,"Angelas Ashes (Frank McCourt, #1)",Frank McCourt,"Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir",4.14,,
138,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Middle Grade",3.99,,
139,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Fantasy, Fiction, Classics, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy",4.47,,
140,Love You Forever,Robert Munsch,"Picture Books, Childrens, Fiction, Classics, Family, Love, Kids",4.37,,
141,Bridge to Terabithia,Katherine Paterson,"Fiction, Young Adult, Classics, Fantasy, Childrens, Middle Grade, Realistic Fiction",4.04,,
142,A Prayer for Owen Meany,John Irving,"Fiction, Classics, Contemporary, Literature, Literary Fiction, Novels, Historical Fiction",4.24,,
143,The Road,Cormac McCarthy,"Fiction, Science Fiction, Dystopia, Post Apocalyptic, Classics, Horror, Literature",3.98,,
144,The Divine Comedy,Dante Alighieri,"Classics, Poetry, Fiction, Literature, Philosophy, Religion, Fantasy",4.07,,
145,A Midsummer Nights Dream,William Shakespeare,"Classics, Plays, Fiction, Fantasy, Drama, School, Romance",3.95,,
146,A Story of Yesterday,Sergio Cobo,"Spanish Literature, Thriller, European Literature, Mystery, Magical Realism, Fiction, Drama",4.6,,
147,The Prophet,Kahlil Gibran,"Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature",4.23,,
148,Persuasion,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook",4.15,,
149,The Name of the Rose,Umberto Eco,"Fiction, Historical Fiction, Mystery, Classics, Historical, Literature, Italian Literature",4.13,,
150,"The Three Musketeers (The DArtagnan Romances, #1)",Alexandre Dumas,"Classics, Fiction, Historical Fiction, Adventure, France, Literature, Historical",4.09,,
151,Water for Elephants,Sara Gruen,"Fiction, Historical Fiction, Romance, Historical, Adult, Adult Fiction, Contemporary",4.1,,
152,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Science Fiction",4.01,,
153,The Boy in the Striped Pajamas,John Boyne,"Historical Fiction, Fiction, Young Adult, Historical, Classics, Holocaust, War",4.15,,
154,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"Historical Fiction, Fiction, Historical, Fantasy, Classics, Medieval, Audiobook",4.33,,
155,How the Grinch Stole Christmas!,Dr. Seuss,"Childrens, Picture Books, Christmas, Classics, Fiction, Poetry, Fantasy",4.37,,
156,Jonathan Livingston Seagull,Richard Bach,"Fiction, Classics, Philosophy, Fantasy, Spirituality, Inspirational, Self Help",3.85,,
157,Oliver Twist,Charles Dickens,"Classics, Fiction, Historical Fiction, Literature, 19th Century, Novels, Classic Literature",3.88,,
158,The Secret Life of Bees,Sue Monk Kidd,"Fiction, Historical Fiction, Young Adult, Classics, Historical, Contemporary, Adult Fiction",4.08,,
159,"The Notebook (The Notebook, #1)",Nicholas Sparks,"Romance, Fiction, Chick Lit, Contemporary, Adult, Adult Fiction, Classics",4.14,,
160,The Master and Margarita,Mikhail Bulgakov,"Classics, Fiction, Russia, Fantasy, Russian Literature, Magical Realism, Literature",4.29,,
161,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure",4.07,,
162,The Complete Sherlock Holmes,Arthur Conan Doyle,"Classics, Mystery, Fiction, Crime, Short Stories, Detective, Literature",4.5,,
163,In Cold Blood,Truman Capote,"Nonfiction, True Crime, Classics, Crime, Mystery, History, Thriller",4.08,,
164,The Crucible: A Play in Four Acts,Arthur  Miller,"Classics, Plays, Fiction, Historical Fiction, School, Drama, Read For School",3.6,,
165,Heart of Darkness,Joseph Conrad,"Classics, Fiction, Literature, Africa, Historical Fiction, School, Novels",3.43,,
166,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"Fiction, Historical Fiction, Mystery, Fantasy, Books About Books, Historical, Spain",4.29,,
167,The Red Tent,Anita Diamant,"Historical Fiction, Fiction, Historical, Religion, Book Club, Feminism, Adult",4.19,,
168,Love in the Time of Cholera,Gabriel García Márquez,"Fiction, Classics, Historical Fiction, Romance, Magical Realism, Literature, Novels",3.93,,
169,The Glass Castle,Jeannette Walls,"Nonfiction, Memoir, Biography, Biography Memoir, Autobiography, Book Club, Adult",4.3,,
170,The Gift of the Magi,O. Henry,"Classics, Short Stories, Fiction, Christmas, Romance, Holiday, Literature",4.1,,
171,The Unbearable Lightness of Being,Milan Kundera,"Fiction, Classics, Philosophy, Literature, Novels, Czech Literature, Romance",4.11,,
172,"Eat, Pray, Love",Elizabeth Gilbert,"Nonfiction, Memoir, Travel, Biography, Romance, Chick Lit, Spirituality",3.61,,
173,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic",4.01,,
174,The Canterbury Tales,Geoffrey Chaucer,"Classics, Fiction, Poetry, Literature, School, Medieval, Short Stories",3.52,,
175,On the Road,Jack Kerouac,"Classics, Fiction, Travel, Literature, Novels, American, Adventure",3.62,,
176,The Art of War,Sun Tzu,"Classics, Nonfiction, Philosophy, History, War, Politics, Business",3.97,,
177,Aesops Fables,Aesop,"Classics, Fiction, Short Stories, Childrens, Fantasy, Literature, Mythology",4.05,,
178,The Screwtape Letters,C.S. Lewis,"Fiction, Christian, Classics, Religion, Christianity, Fantasy, Theology",4.25,,
179,Fight Club,Chuck Palahniuk,"Fiction, Classics, Contemporary, Thriller, Novels, Mystery, Adult",4.19,,
180,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",4.61,,
181,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Classics, Horror, Fiction, Science Fiction, Mystery, Gothic, Fantasy",3.83,,
182,Gullivers Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,"Classics, Fiction, Fantasy, Adventure, Literature, Novels, 18th Century",3.58,,
183,"The Godfather (The Godfather, #1)",Mario Puzo,"Fiction, Classics, Crime, Thriller, Historical Fiction, Mystery, Novels",4.38,,
184,Robinson Crusoe,Daniel Defoe,"Classics, Fiction, Adventure, Literature, Historical Fiction, Novels, 18th Century",3.68,,
185,Walden,Henry David Thoreau,"Classics, Philosophy, Nonfiction, Nature, Memoir, Literature, Biography",3.78,,
186,The Origin of Species,Charles Darwin,"Science, Nonfiction, Classics, Biology, Evolution, Philosophy, History",4,,
187,Invisible Man,Ralph Ellison,"Classics, Fiction, Literature, Race, Historical Fiction, African American, Novels",3.91,,
188,Emma,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook",4.04,,
189,The Prince,Niccolò Machiavelli,"Classics, Philosophy, Nonfiction, Politics, History, Literature, Political Science",3.83,,
190,Sophies World,Jostein Gaarder,"Philosophy, Fiction, Classics, Young Adult, Novels, Fantasy, Literature",3.96,,
191,The Complete Grimms Fairy Tales,Jacob Grimm,"Classics, Fantasy, Fiction, Fairy Tales, Short Stories, Childrens, Literature",4.28,,
192,The Trial,Franz Kafka,"Classics, Fiction, Philosophy, Literature, German Literature, Novels, Dystopia",3.96,,
193,The Time Machine,H.G. Wells,"Classics, Science Fiction, Fiction, Time Travel, Fantasy, Dystopia, Literature",3.9,,
194,"Watchmen (Watchmen, #1-12)",Alan Moore,"Graphic Novels, Comics, Fiction, Science Fiction, Fantasy, Graphic Novels Comics, Comic Book",4.37,,
195,Roots: The Saga of an American Family,Alex Haley,"Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race",4.44,,
196,Candide,Voltaire,"Classics, Fiction, Philosophy, France, Literature, Humor, French Literature",3.76,,
197,Beloved,Toni Morrison,"Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School",3.93,,
198,Atonement,Ian McEwan,"Fiction, Historical Fiction, Classics, Romance, Historical, War, Literary Fiction",3.93,,
199,Go Ask Alice,Beatrice Sparks,"Young Adult, Fiction, Classics, Contemporary, Mental Health, Realistic Fiction, Teen",3.75,,
200,My Sisters Keeper,Jodi Picoult,"Fiction, Contemporary, Chick Lit, Young Adult, Drama, Adult, Adult Fiction",4.09,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
